long,lat,rural_urban,country,haz_new_mean,waz_new_mean,bmi_adult_mean
-3.198924,6.512807,rural,Ghana,-145.875,-76.25,2337.25
-3.003925,6.301475,rural,Ghana,-73.25,-121.25,3069.6666666666665
-2.977985,5.966197,rural,Ghana,-96.125,-51.625,2404.5
-2.940953,7.430862,rural,Ghana,-108.625,-111.25,2098.3333333333335
-2.936622,6.941108,rural,Ghana,-107.5,-28.166666666666668,2071.714285714286
-2.908872,7.509228,rural,Ghana,-272.0,-215.0,2283.0
-2.893164,6.873475,rural,Ghana,-135.75,-113.8125,2510.705882352941
-2.889018,10.639605,urban,Ghana,-29.666666666666668,-56.666666666666664,2321.8
-2.882,5.058389,urban,Ghana,-101.0,-209.5,2797.5
-2.853126,7.64804,rural,Ghana,-28.333333333333332,-39.22222222222222,2325.5
-2.845937,10.697671,rural,Ghana,-169.75,-125.58333333333333,2138.846153846154
-2.841378,10.512106,rural,Ghana,-151.06666666666666,-113.46666666666667,2160.470588235294
-2.830757,5.998991,rural,Ghana,-203.2,-134.0,2274.4
-2.80999,5.834936,urban,Ghana,-140.33333333333334,-117.66666666666667,2293.6666666666665
-2.807766,7.192601,rural,Ghana,-100.0,-74.25,2483.0
-2.792227,6.925463,rural,Ghana,-44.0,-130.0,2244.5
-2.783464,7.225835,urban,Ghana,15.0,-2.5,2501.5
-2.771808,7.578461,urban,Ghana,-91.8,-58.0,2239.2
-2.757826,10.875712,rural,Ghana,-117.125,-118.375,2245.3846153846152
-2.736487,10.992965,urban,Ghana,-185.6,-116.4,2603.5
-2.731316,6.689888,rural,Ghana,-70.5,-67.75,2651.25
-2.730215,10.656033,rural,Ghana,-150.71428571428572,-107.85714285714286,2126.125
-2.727439,5.710898,rural,Ghana,-162.5,-104.25,2345.7
-2.723843,10.221559,rural,Ghana,-158.0,-89.875,2408.125
-2.719455,7.258671,urban,Ghana,-60.0,-66.77777777777777,2036.1
-2.715859,9.772651,rural,Ghana,-99.46666666666667,-57.13333333333333,2154.8125
-2.709933,10.508609,urban,Ghana,-96.66666666666667,-50.166666666666664,2311.0
-2.698749,10.852057,rural,Ghana,-127.33333333333333,-149.5,2209.153846153846
-2.693039,10.602301,rural,Ghana,-147.66666666666666,-123.0,2203.5
-2.691144,7.943569,urban,Ghana,-40.2,8.2,2732.2
-2.668455,10.078764,rural,Ghana,-223.75,-139.75,2244.75
-2.667279,10.535891,rural,Ghana,-102.75,-188.75,1979.75
-2.660867,10.343155,rural,Ghana,-117.83333333333333,-96.0,2301.4285714285716
-2.650605,10.305237,rural,Ghana,-117.0,-92.5,2103.6
-2.62961,5.001826,rural,Ghana,-87.33333333333333,-72.66666666666667,2546.5714285714284
-2.60062,7.964845,rural,Ghana,-115.72727272727273,-121.9090909090909,2350.5
-2.584876,6.401304,urban,Ghana,-75.66666666666667,-67.33333333333333,2329.25
-2.578637,10.492806,rural,Ghana,20.166666666666668,56.166666666666664,2233.714285714286
-2.577528,7.443561,urban,Ghana,-16.75,-12.0,2755.3333333333335
-2.575391,7.431939,urban,Ghana,-201.0,-140.0,2505.0
-2.574573,5.080489,rural,Ghana,-85.63636363636364,-48.0,2654.2727272727275
-2.573745,7.318089,rural,Ghana,-97.57142857142857,-93.28571428571429,2263.5
-2.559438,10.954949,rural,Ghana,-119.41666666666667,-100.66666666666667,2209.5
-2.535703,6.319774,rural,Ghana,-169.5,-55.5,2252.3333333333335
-2.513729,10.05968,urban,Ghana,-110.0,-54.25,2658.75
-2.511215,6.786233,urban,Ghana,-98.5,-42.333333333333336,2349.3333333333335
-2.508054,10.06488,urban,Ghana,-19.857142857142858,48.0,3017.875
-2.505134,8.095318,rural,Ghana,-87.3076923076923,-49.46153846153846,2377.8571428571427
-2.498544,10.071832,urban,Ghana,-65.36363636363636,-65.0,2420.909090909091
-2.496315,10.048304,urban,Ghana,49.333333333333336,95.66666666666667,2538.3333333333335
-2.49094,10.028881,rural,Ghana,-140.25,-50.25,2199.5
-2.489537,10.056536,urban,Ghana,-14.0,-16.25,2506.8
-2.487439,9.877947,rural,Ghana,-99.0,-68.0,2249.3333333333335
-2.484954,10.056925,urban,Ghana,-66.0,-28.0,2230.5
-2.483826,6.555773,rural,Ghana,-28.8,-57.8,2371.6666666666665
-2.469244,5.780835,rural,Ghana,-193.14285714285714,-160.71428571428572,2386.266666666667
-2.46875,6.186395,rural,Ghana,-174.27272727272728,-132.9090909090909,2368.181818181818
-2.43959,9.515618,rural,Ghana,-57.666666666666664,-48.666666666666664,2175.75
-2.435404,6.860922,urban,Ghana,-150.5,-14.0,2067.0
-2.419952,9.49535,urban,Ghana,-87.85714285714286,-51.857142857142854,2905.285714285714
-2.417165,7.96651,urban,Ghana,-98.71428571428571,-98.14285714285714,2613.8571428571427
-2.364563,5.572287,rural,Ghana,116.25,72.75,2841.4
-2.354333,4.946797,urban,Ghana,-176.8,-161.4,2521.6
-2.339623,7.327093,urban,Ghana,7.5,-27.0,2836.0
-2.322997,6.449571,urban,Ghana,-24.166666666666668,-25.166666666666668,2275.5714285714284
-2.318479,7.381131,urban,Ghana,5.2,-53.2,2952.0
-2.316421,4.973827,rural,Ghana,-75.0,-100.5,2793.0
-2.310962,7.348619,urban,Ghana,-81.375,-36.75,2477.5
-2.295507,6.979233,rural,Ghana,-96.5,-39.0,2514.25
-2.287511,6.435504,rural,Ghana,-84.77777777777777,-39.111111111111114,2248.0
-2.237646,7.223636,urban,Ghana,-61.142857142857146,-51.42857142857143,2496.285714285714
-2.231289,5.090064,rural,Ghana,-84.14285714285714,-46.857142857142854,2290.5384615384614
-2.218726,10.296048,rural,Ghana,-134.8,-170.2,2181.181818181818
-2.160132,10.837521,rural,Ghana,-35.0,-96.5,2096.5
-2.141203,5.422805,urban,Ghana,-76.125,-79.75,2722.125
-2.13613,6.286058,rural,Ghana,-64.88888888888889,-29.666666666666668,2453.8888888888887
-2.130236,6.150937,rural,Ghana,-74.7,-78.2,2535.5833333333335
-2.117523,7.349223,rural,Ghana,-164.26666666666668,-114.6,2263.875
-2.115247,5.443927,rural,Ghana,-117.0,-92.0,2851.5
-2.108619,5.817853,rural,Ghana,-108.2,-75.4,2699.5
-2.093907,7.817969,rural,Ghana,-30.5,40.0,2680.0
-2.086953,5.790651,urban,Ghana,-147.66666666666666,-93.0,2320.75
-2.029291,9.225152,rural,Ghana,-72.27272727272727,-34.72727272727273,2302.470588235294
-2.027717,7.18233,urban,Ghana,-72.75,-69.5,2711.0
-2.015509,8.601915,rural,Ghana,-113.41666666666667,-59.083333333333336,2271.846153846154
-2.009094,4.965165,rural,Ghana,-93.71428571428571,-110.35714285714286,2436.5
-2.00342,5.565112,rural,Ghana,103.75,19.25,2475.8
-1.98716,7.526111,rural,Ghana,-85.71428571428571,-74.14285714285714,2731.125
-1.98563,7.456395,urban,Ghana,-85.4,-78.9,2474.7272727272725
-1.985031,5.296669,rural,Ghana,-74.42857142857143,-75.0,2550.5714285714284
-1.984199,10.876137,urban,Ghana,-4.0,11.166666666666666,2801.6666666666665
-1.982582,7.207741,rural,Ghana,-147.875,-120.875,2485.6666666666665
-1.976284,6.69194,rural,Ghana,-247.0,-69.0,2360.0
-1.948946,7.578641,urban,Ghana,-75.88888888888889,-74.88888888888889,2367.222222222222
-1.946618,7.592999,urban,Ghana,-28.9,-8.5,2553.0
-1.944856,7.389343,urban,Ghana,-82.14285714285714,-48.0,2485.4285714285716
-1.942897,10.582851,rural,Ghana,-108.7,-43.0,2282.0833333333335
-1.942044,6.429612,rural,Ghana,-95.5,-76.25,2280.5
-1.932302,7.798392,rural,Ghana,-51.888888888888886,-45.44444444444444,2282.9
-1.924572,5.042225,rural,Ghana,-151.7,-90.1,2799.4
-1.888514,4.972451,urban,Ghana,-114.33333333333333,-72.66666666666667,2332.25
-1.877879,4.907581,rural,Ghana,-83.0,-51.875,2372.7
-1.85373,6.951779,rural,Ghana,-84.625,-43.375,2283.2
-1.851527,8.231822,rural,Ghana,-29.666666666666668,-5.666666666666667,2364.25
-1.818227,4.901685,urban,Ghana,-77.33333333333333,-54.5,2852.3333333333335
-1.813422,4.914878,urban,Ghana,115.4,33.6,3417.2
-1.791241,5.964443,urban,Ghana,-76.4,-10.2,2678.4
-1.790434,4.914374,urban,Ghana,,,
-1.779983,4.906708,urban,Ghana,-80.5,-82.75,3099.6
-1.76782,6.784825,rural,Ghana,-5.0,1.5,3037.6666666666665
-1.765307,10.135949,rural,Ghana,-37.0,-55.75,2439.875
-1.762104,4.935371,urban,Ghana,-10.333333333333334,-19.333333333333332,2935.25
-1.760391,4.915465,urban,Ghana,,,2651.0
-1.754193,4.921209,urban,Ghana,18.75,35.0,2652.75
-1.746236,4.913044,urban,Ghana,-92.33333333333333,-59.888888888888886,2987.1111111111113
-1.735592,8.065865,urban,Ghana,-115.0,-61.111111111111114,2546.3333333333335
-1.728542,4.944987,urban,Ghana,-120.57142857142857,-76.57142857142857,2718.8
-1.727518,5.00325,rural,Ghana,-158.25,-182.75,2054.6
-1.72687,6.845595,urban,Ghana,-65.75,-57.0,3274.75
-1.724579,4.965634,urban,Ghana,-117.8,-60.6,2936.0
-1.721979,4.929656,urban,Ghana,2.0,37.0,2513.6666666666665
-1.714682,6.323633,rural,Ghana,-72.57142857142857,-133.14285714285714,2358.777777777778
-1.714392,4.952203,urban,Ghana,-265.0,-243.0,2237.5
-1.712563,7.935717,rural,Ghana,-130.5,-81.875,2399.222222222222
-1.7049,7.554681,urban,Ghana,61.5,72.5,2693.75
-1.690115,6.684749,urban,Ghana,-104.875,-98.5,2802.125
-1.680057,5.914253,rural,Ghana,-199.0,-98.25,2783.1666666666665
-1.678845,6.202084,urban,Ghana,-52.0,7.0,2950.714285714286
-1.677797,5.011082,urban,Ghana,-125.66666666666667,-97.66666666666667,2829.3333333333335
-1.665748,6.197808,urban,Ghana,,,
-1.664945,6.713187,urban,Ghana,-58.7,-24.5,2910.5555555555557
-1.661488,6.71204,urban,Ghana,,,
-1.656943,6.81362,rural,Ghana,-137.16666666666666,-55.5,2653.0
-1.654097,7.489446,rural,Ghana,-37.0,-64.25,2531.75
-1.653697,6.941448,rural,Ghana,-141.2,-82.0,2109.6
-1.649545,6.676619,urban,Ghana,-49.6,-2.4,2314.1666666666665
-1.642316,7.750271,rural,Ghana,-34.5,-53.666666666666664,2573.5714285714284
-1.636748,6.742562,urban,Ghana,-47.166666666666664,-66.66666666666667,2666.5
-1.632318,6.656801,urban,Ghana,-63.142857142857146,-30.0,3194.3333333333335
-1.630634,6.716656,urban,Ghana,-47.0,-28.0,2650.0
-1.6257,6.716737,urban,Ghana,-78.75,-84.625,2581.4444444444443
-1.618833,6.690752,urban,Ghana,-106.83333333333333,-95.33333333333333,3370.6666666666665
-1.617852,6.603497,rural,Ghana,-57.0,-38.25,3067.2
-1.617306,6.699837,urban,Ghana,-63.5,-97.0,2443.25
-1.616928,6.672275,urban,Ghana,-77.0,44.0,2898.5
-1.613891,6.729737,urban,Ghana,-135.66666666666666,-140.66666666666666,2633.3333333333335
-1.613815,6.743006,urban,Ghana,4.666666666666667,-60.833333333333336,2633.1666666666665
-1.610035,6.736091,urban,Ghana,-42.63636363636363,-11.818181818181818,2565.5714285714284
-1.600494,6.687503,urban,Ghana,-8.5,162.5,3826.0
-1.596987,6.632885,urban,Ghana,-105.5,-119.16666666666667,2572.0
-1.59365,6.693038,urban,Ghana,-106.0,-37.75,2617.0
-1.586704,6.725353,urban,Ghana,-97.33333333333333,-22.666666666666668,2517.0
-1.585132,6.653406,urban,Ghana,-60.0,-40.75,2358.0
-1.583515,6.734884,urban,Ghana,-10.625,-29.75,2902.6666666666665
-1.58225,6.713354,urban,Ghana,-31.75,-34.5,2658.125
-1.56886,6.752605,urban,Ghana,-57.42857142857143,-66.42857142857143,2923.875
-1.552651,5.602788,rural,Ghana,-116.66666666666667,-89.16666666666667,2493.4166666666665
-1.545766,6.674774,urban,Ghana,,,
-1.53921,6.695189,urban,Ghana,-89.75,-51.5,2334.2
-1.514941,7.043135,urban,Ghana,-32.142857142857146,-16.714285714285715,2706.875
-1.511561,6.292803,rural,Ghana,-37.0,3.6,2738.5714285714284
-1.505776,6.99261,rural,Ghana,-46.285714285714285,-59.142857142857146,2217.375
-1.505764,5.098472,urban,Ghana,4.75,25.25,2674.25
-1.477289,5.272675,rural,Ghana,-138.71428571428572,-110.71428571428571,2331.25
-1.459368,6.644632,rural,Ghana,-107.16666666666667,-77.83333333333333,2592.714285714286
-1.45488,6.78661,urban,Ghana,-93.5,-65.9,2528.5454545454545
-1.449998,5.125878,rural,Ghana,-164.63636363636363,-110.0,2517.230769230769
-1.388365,10.525542,rural,Ghana,-70.16666666666667,-90.83333333333333,2373.6666666666665
-1.384966,6.91415,rural,Ghana,-86.0,-44.625,2382.0
-1.362952,5.102428,rural,Ghana,-87.0,-60.0,2739.0
-1.358914,5.923917,rural,Ghana,-140.4,-81.0,2420.0
